Animal_ID,Tank,Rack,DOB,Cohort,Environmental_Condition,Sex,Lineage,Transgenic_Line,Experimental_Holds,Species,Protocol_Number,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet
SAL_183,A4,Rack 4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_184,A4,Rack 4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_185,A5,Rack 4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_186,A5,Rack 4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_187,A5,Rack 4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_188,A5,Rack 4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_189,A5,Rack 4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_190,C5,Rack 4,1/14/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Viral PHPeB CAG G8s LX,,,,
SAL_191,C5,Rack 4,1/14/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Viral PHPeB CAG G8s LX,,,,
SAL_192,C5,Rack 4,1/14/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Viral PHPeB CAG G8s LX,,,,
SAL_193,C5,Rack 4,1/14/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Viral PHPeB CAG G8s LX,,,,
SAL_194,B1,Rack 11,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
SAL_195,B1,Rack 11,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
SAL_196,B1,Rack 11,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
SAL_197,B1,Rack 11,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
SAL_198,B1,Rack 11,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
SAL_199,B1,Rack 11,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
SAL_200,B4,Rack 8,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_201,B4,Rack 8,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_202,B4,Rack 8,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_203,B4,Rack 8,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_204,A1,Rack 4,8/5/23 0:00,,Aquatic,Female,,WT,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_205,A1,Rack 4,8/5/23 0:00,,Aquatic,Female,,WT,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_206,A1,Rack 4,8/5/23 0:00,,Aquatic,Female,,WT,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_207,A2,Rack 4,7/30/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_208,A2,Rack 4,7/30/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_209,A2,Rack 4,7/30/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_210,A2,Rack 4,7/30/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_211,A2,Rack 4,7/30/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_212,C3,Rack 4,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_213,C3,Rack 4,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_214,C3,Rack 4,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_215,C3,Rack 4,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_216,C3,Rack 4,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_217,C4,Rack 4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_218,C4,Rack 4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_219,C4,Rack 4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_220,C4,Rack 4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_221,C4,Rack 4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_222,C5,Rack 6,7/21/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_223,C5,Rack 6,7/21/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_224,B1,Rack 10,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_225,B1,Rack 10,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_226,B1,Rack 10,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_227,B1,Rack 10,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_228,B1,Rack 10,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_229,B1,Rack 10,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_230,B1,Rack 10,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_231,B1,Rack 10,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_232,B2,Rack 10,11/24/23 0:00,Terra F,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,12/5/24 0:00,,Gummy Schedule
SAL_233,B2,Rack 10,11/24/23 0:00,Terra F,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,12/5/24 0:00,,Gummy Schedule
SAL_234,B2,Rack 10,11/24/23 0:00,Terra F,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,12/5/24 0:00,,Gummy Schedule
SAL_235,B3,Rack 10,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_236,B3,Rack 10,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_237,B3,Rack 10,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_238,B3,Rack 10,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_239,B3,Rack 10,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_240,B3,Rack 10,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_241,B4,Rack 10,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_242,B4,Rack 10,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_243,B4,Rack 10,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_244,B4,Rack 10,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_245,B4,Rack 10,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_246,C2,Rack 10,12/9/23 0:00,Terra K,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_247,C2,Rack 10,12/9/23 0:00,Terra K,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_248,C2,Rack 10,12/9/23 0:00,Terra K,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_249,C2,Rack 10,12/9/23 0:00,Terra K,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_250,C2,Rack 10,12/9/23 0:00,Terra K,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_251,C3,Rack 10,12/9/23 0:00,Terra I,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_252,C3,Rack 10,12/9/23 0:00,Terra I,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_253,C3,Rack 10,12/9/23 0:00,Terra I,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_254,C3,Rack 10,12/9/23 0:00,Terra I,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_255,C3,Rack 10,12/9/23 0:00,Terra I,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_256,C4,Rack 10,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_257,C4,Rack 10,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_258,C4,Rack 10,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_259,C4,Rack 10,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_260,C4,Rack 10,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_261,C4,Rack 10,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_262,B1,Rack 4,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AABF2564,AD Trackerseq high signal,,,,
SAL_263,B1,Rack 4,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AABF2564,AD Trackerseq high signal,,,,
SAL_264,B1,Rack 4,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AABF2564,AD Trackerseq high signal,,,,
SAL_265,B1,Rack 4,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AABF2564,AD Trackerseq high signal,,,,
SAL_266,B4,Rack 4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_267,B4,Rack 4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_268,B4,Rack 4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_269,B4,Rack 4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_270,B4,Rack 4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_271,B4,Rack 4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_272,B4,Rack 4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_273,B5,Rack 4,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_274,B5,Rack 4,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_275,B5,Rack 4,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_276,B5,Rack 4,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_277,B5,Rack 4,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_278,B5,Rack 4,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_279,C2,Rack 4,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_280,C2,Rack 4,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_281,C2,Rack 4,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_282,C2,Rack 4,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_283,C2,Rack 4,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_284,C2,Rack 4,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_285,A2,Rack 11,11/24/23 0:00,Terra M,Terrestrial,Unknown,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_286,A2,Rack 11,11/24/23 0:00,Terra M,Terrestrial,Unknown,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_287,A2,Rack 11,11/24/23 0:00,Terra M,Terrestrial,Unknown,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_288,A2,Rack 11,11/24/23 0:00,Terra M,Terrestrial,Unknown,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_289,A2,Rack 11,11/24/23 0:00,Terra M,Terrestrial,Unknown,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_290,A4,Rack 11,12/9/23 0:00,Terra O,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,7/15/24 0:00,,Gummy Schedule
SAL_291,A4,Rack 11,12/9/23 0:00,Terra O,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,7/15/24 0:00,,Gummy Schedule
SAL_292,A4,Rack 11,12/9/23 0:00,Terra O,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,7/15/24 0:00,,Gummy Schedule
SAL_293,B3,Rack 11,11/24/23 0:00,Terra R,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_294,B3,Rack 11,11/24/23 0:00,Terra R,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_295,B3,Rack 11,11/24/23 0:00,Terra R,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_296,B3,Rack 11,11/24/23 0:00,Terra R,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_297,B3,Rack 11,11/24/23 0:00,Terra R,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_298,B3,Rack 11,11/24/23 0:00,Terra R,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_299,C1,Rack 11,11/24/23 0:00,Terra T,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_300,C1,Rack 11,11/24/23 0:00,Terra T,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_301,C1,Rack 11,11/24/23 0:00,Terra T,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_302,C1,Rack 11,11/24/23 0:00,Terra T,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_303,C1,Rack 12,2/8/23 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,True F1,,,,
SAL_304,C3,Rack 1,3/12/25 0:00,,Aquatic,Unknown,,WT,GG,Polypterus senegalus,AABY5655,,,,,
SAL_305,C3,Rack 1,3/12/25 0:00,,Aquatic,Unknown,,WT,GG,Polypterus senegalus,AABY5655,,,,,
SAL_306,C3,Rack 1,3/12/25 0:00,,Aquatic,Unknown,,WT,GG,Polypterus senegalus,AABY5655,,,,,
SAL_307,D1,Rack 12,11/24/24 0:00,,Aquatic,Female,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_308,D1,Rack 12,11/24/24 0:00,,Aquatic,Female,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_309,D1,Rack 12,11/24/24 0:00,,Aquatic,Female,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_310,D1,Rack 12,11/24/24 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_311,D1,Rack 12,11/24/24 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_312,D1,Rack 12,11/24/24 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_313,A1,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_314,A1,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_315,A1,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_316,A1,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_317,A1,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_318,A1,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_319,A1,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_320,A1,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_321,A2,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_322,A2,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_323,A2,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_324,A2,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_325,A2,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_326,A2,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_327,A2,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_328,A2,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_329,A4,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_330,A4,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_331,A4,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_332,A4,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_333,A4,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_334,A4,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_335,A4,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_336,A4,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_337,A5,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_338,A5,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_339,A5,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_340,A5,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_341,A5,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_342,A5,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_343,A5,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_344,A5,Rack 6,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
