Animal_ID,Protocol_Number,Rack,Tank,DOB,Cohort,Environmental_Condition,Sex,Lineage,Transgenic_Line,Experimental_Holds,Species,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet
SAL_271,AABL1550,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_272,AABL1550,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_278,AABL1550,Rack 13 - Off,A2,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_279,AABF2564,Rack 4,C2,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,LHRH injection June 2025,BBE2,,,
SAL_280,AABF2564,Rack 4,C2,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,"LHRH Injection June 2025
",BBE1,,,
SAL_281,AABF2564,Rack 12,A3,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,LHRH injection June 2025,3D6.1534AFBBE1,,,
SAL_282,AABF2564,Rack 12,A3,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,,3D6.1534AFBBB9,,,
SAL_283,AABF2564,Rack 12,A3,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_284,AABF2564,Rack 4,C2,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_290,AABL1550,Rack 11,A4,12/9/23 0:00,Terra O,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,,,7/15/24 0:00,,Gummy Schedule
SAL_303,AABL1550,Rack 3,C1,2/8/23 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,True F1,,,,
SAL_307,AABL1550,Rack 12,D1,11/24/23 0:00,,Aquatic,Female,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,,,,,
SAL_308,AABL1550,Rack 12,D1,11/24/23 0:00,,Aquatic,Female,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,,,,,
SAL_309,AABL1550,Rack 12,D1,11/24/23 0:00,,Aquatic,Female,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,,,,,
SAL_310,AABL1550,Rack 3,C1,11/24/23 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,,,,,
SAL_311,AABL1550,Rack 3,C1,11/24/23 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,,,,,
SAL_312,AABL1550,Rack 3,C1,11/24/23 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,,,,,
SAL_315,AABL1550,Rack 6,A1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_316,AABL1550,Rack 6,A1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_317,AABL1550,Rack 6,A1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_318,AABL1550,Rack 6,A1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_319,AABL1550,Rack 6,A1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_320,AABL1550,Rack 6,A1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_321,AABL1550,Rack 6,A2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_322,AABL1550,Rack 6,A2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_323,AABL1550,Rack 6,A2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_324,AABL1550,Rack 6,A2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_325,AABL1550,Rack 6,A2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_326,AABL1550,Rack 6,A2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_327,AABL1550,Rack 6,A3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_328,AABL1550,Rack 6,A3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_329,AABL1550,Rack 6,A4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_330,AABL1550,Rack 6,A4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_331,AABL1550,Rack 6,A4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_332,AABL1550,Rack 6,A4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_333,AABL1550,Rack 6,A4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_334,AABL1550,Rack 6,A3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_335,AABL1550,Rack 6,A3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_336,AABL1550,Rack 6,A4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_337,AABL1550,Rack 6,A5,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_338,AABL1550,Rack 6,A5,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_339,AABL1550,Rack 6,A5,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_340,AABL1550,Rack 6,A5,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_341,AABL1550,Rack 6,A5,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_342,AABL1550,Rack 6,A5,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_343,AABL1550,Rack 6,A3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_344,AABL1550,Rack 6,A3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,,,,,
SAL_345,AABF2564,Rack 4,A2,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_346,AABF2564,Rack 13 - Off,A2,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_347,AABF2564,Rack 13 - Off,A2,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_348,AABF2564,Rack 13 - Off,A2,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_349,AABF2564,Rack 4,A2,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_350,AABF2564,Rack 4,A2,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_351,AABF2564,Rack 4,A3,1/3/25 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_352,AABF2564,Rack 4,A3,1/3/25 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_353,AABF2564,Rack 6,B3,1/3/25 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_354,AABF2564,Rack 6,B3,1/3/25 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_355,AABL1550,Rack 6,D1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_356,AABL1550,Rack 6,B1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_357,AABL1550,Rack 6,B1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_360,AABL1550,Rack 13 - Off,A1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,150 nL AAVrg-CAG-tdTomato R OB injection on 10/7,,10/7/25,,
SAL_361,AABL1550,Rack 6,B1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_363,AABL1550,Rack 11,C3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_364,AABL1550,Rack 11,C3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_365,AABL1550,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_366,AABL1550,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_367,AABL1550,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_368,AABL1550,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_369,AABL1550,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_370,AABL1550,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_371,AABL1550,Rack 6,B4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_372,AABL1550,Rack 6,B4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_373,AABL1550,Rack 6,B4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_374,AABL1550,Rack 6,B4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_375,AABL1550,Rack 6,B4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_376,AABL1550,Rack 6,B4,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_377,AABF2564,Rack 6,B5,11/24/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_378,AABF2564,Rack 6,B5,11/24/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_379,AABF2564,Rack 6,B5,11/24/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_380,AABF2564,Rack 6,B5,11/24/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,,,,,
SAL_383,AABL1550,Rack 11,A3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_384,AABL1550,Rack 11,A3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_385,AABL1550,Rack 6,C1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_386,AABL1550,Rack 6,C1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_387,AABL1550,Rack 6,C1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_388,AABL1550,Rack 6,C1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_389,AABL1550,Rack 11,C3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_391,AABL1550,Rack 6,C2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_392,AABL1550,Rack 11,A3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_393,AABL1550,Rack 11,A3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_394,AABL1550,Rack 11,A3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_395,AABL1550,Rack 6,C2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_396,AABL1550,Rack 6,C2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_402,AABI2617,Rack 13 - Off,A2,11/24/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,,,,,
SAL_403,AABI2617,Rack 13 - Off,A2,11/24/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,,,,,
SAL_405,AABF2564,Rack 6,C4,4/15/24 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,Ad pbase ,,,,
SAL_406,AABL1550,Rack 6,D1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_407,AABL1550,Rack 13 - Off,A2,11/24/23 0:00,Terra O,Terrestrial,Unknown,F1,hsyn-GCaMP6s,Missing as of 01/2026;  card also gone,Pleurodeles waltl,,,6/10/25,,Gummy Schedule
SAL_412,AABL1550,Rack 6,D1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_413,AABL1550,Rack 6,D1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_414,AABL1550,Rack 6,D1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_415,AABL1550,Rack 11,A2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_416,AABL1550,Rack 11,A2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_417,AABL1550,Rack 6,D1,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_418,AABL1550,Rack 11,A2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_419,AABL1550,Rack 11,A2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_420,AABL1550,Rack 6,D2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_421,AABL1550,Rack 6,D2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,,,,,
SAL_422,AABF2564,Rack 6,B3,1/3/25 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_423,AABL1550,Rack 6,D3,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_424,AABL1550,Rack 6,D3,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_425,AABL1550,Rack 6,D3,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_426,AABL1550,Rack 6,D3,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_427,AABL1550,Rack 6,D3,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_428,AABL1550,Rack 6,D3,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_429,AABL1550,Rack 6,D3,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_431,AABL1550,Rack 6,D4,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_432,AABL1550,Rack 6,D4,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_433,AABL1550,Rack 6,D4,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_434,AABL1550,Rack 6,D4,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_435,AABL1550,Rack 6,D4,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_436,AABL1550,Rack 12,C4,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_437,AABL1550,Rack 12,C4,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_438,AABL1550,Rack 12,C4,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,LX PHPeB CAG G8s Viral,,,,
SAL_444,AABL1550,Rack 8,B1,12/9/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,,,,,
SAL_445,AABL1550,Rack 8,B1,12/9/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,,,,,
SAL_446,AABL1550,Rack 8,B1,12/9/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,,,,,
SAL_448,AABL1550,Rack 8,B1,12/9/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,,,,,
SAL_453,AABL1550,Rack 8,B2,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,,,,,
SAL_458,AABL1550,Rack 8,D3,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,,,,,Gummy Schedule
SAL_460,AABI2617,Rack 8,A1,4/15/24 0:00,,Aquatic,Unknown,,WT,AOG ,Pleurodeles waltl,Regen,,,,
SAL_466,AABL1550,Rack 8,C1,5/17/24 0:00,EdU,Aquatic,Unknown,,WT,AMMM TGZ Edu,Pleurodeles waltl,Edu,,,,Gummy Schedule
SAL_487,AABL1550,Rack 11,C4,5/17/24 0:00,Terra W,Terrestrial,Unknown,,WT,AMMM TGZ,Pleurodeles waltl,,,5/5/25,,Gummy Schedule
SAL_488,AABL1550,Rack 11,C4,5/17/24 0:00,Terra W,Terrestrial,Unknown,,WT,AMMM TGZ,Pleurodeles waltl,,,5/5/25,,Gummy Schedule
SAL_496,AABF2564,Rack 13 - Off,A2,5/17/24 0:00,,Aquatic,Unknown,,WT,Missing as of 01/2026; no animal missing card,Pleurodeles waltl,,,,,
SAL_497,AABF2564,Rack 4,B2,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_498,AABF2564,Rack 4,B2,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_499,AABF2564,Rack 13 - Off,A2,5/17/24 0:00,,Aquatic,Unknown,,WT,Priority to use ,Pleurodeles waltl,Slow growers,,,,
SAL_500,AABF2564,Rack 8,D4,5/17/24 0:00,,Aquatic,Unknown,,WT,Priority to use ,Pleurodeles waltl,Slow growers,,,,
SAL_504,AABF2564,Rack 8,D1,5/17/24 0:00,,Aquatic,Unknown,,WT,Priority,Pleurodeles waltl,,,,,
SAL_505,AABF2564,Rack 8,D1,5/17/24 0:00,,Aquatic,Unknown,,WT,Priority,Pleurodeles waltl,,,,,
SAL_506,AABF2564,Rack 8,D1,5/17/24 0:00,,Aquatic,Unknown,,WT,Priority,Pleurodeles waltl,,,,,
SAL_507,AABF2564,Rack 8,D1,5/17/24 0:00,,Aquatic,Unknown,,WT,Priority,Pleurodeles waltl,,,,,
SAL_508,AABF2564,Rack 8,D1,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,,,,,
SAL_514,AABF2564,Rack 1,A2,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_516,AABF2564,Rack 1,A2,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_517,AABF2564,Rack 1,A2,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_518,AABF2564,Rack 1,A2,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_519,AABF2564,Rack 1,A2,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_520,AABF2564,Rack 1,A3,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_521,AABF2564,Rack 1,A3,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_522,AABF2564,Rack 1,A3,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_523,AABF2564,Rack 1,A3,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_524,AABF2564,Rack 1,A3,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_526,AABF2564,Rack 1,A4,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_527,AABF2564,Rack 1,A4,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_528,AABF2564,Rack 1,A4,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_529,AABF2564,Rack 1,A4,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_533,AABL1550,Rack 1,A1,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_534,AABL1550,Rack 1,A1,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_535,AABL1550,Rack 1,A1,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_536,AABL1550,Rack 1,A1,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,Metro treated 11/14/25-12/5/25,,,,
SAL_538,AABL1550,Rack 7,B1,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,Metro treatment 12/8/25-12/29-25,,,,
SAL_539,AABL1550,Rack 1,B3,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,Metro treatment 12/8/25-12/29/25,,,,
SAL_540,AABL1550,Rack 1,B3,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,Metro treatment 12/8/25-12/29/25,,,,
SAL_541,AABL1550,Rack 1,B3,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,Metro treatment 12/8/25-12/29/25,,,,
SAL_542,AABL1550,Rack 1,B3,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,Metro treatment 12/8/25-12/29/25,,,,
SAL_543,AABL1550,Rack 1,B3,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,Metro treatment 12/8/25-12/29/25,,,,
SAL_545,AABL1550,Rack 1,B4,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,Metro treatment 12/8/25-12/29/25,,,,
SAL_546,AABL1550,Rack 1,B4,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,Metro treatment 12/8/25-12/29/25,,,,
SAL_547,AABL1550,Rack 1,B4,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,Metro treatment 12/8/25-12/29/25,,,,
SAL_548,AABL1550,Rack 1,B4,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,Metro treatment 12/8/25-12/29/25,,,,
