Animal_ID,Tank,Rack,DOD,DOB,Purpose,Experimenter,Cohort,Environmental_Condition,Lineage,Transgenic_Line,Experimental_Holds,Species,Protocol_Number,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet,Weight_g,Sex,Complications
SAL_873,A1,Rack 13 - Off,2025-07-18,2024-10-25 00:00:00,regeneration PTU,"AOG, MK",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,3D6.1534AFBBEB,,,,4.14,Unknown,
SAL_878,A1,Rack 13 - Off,2025-07-18,2024-10-25 00:00:00,regeneration PTU,"AOG, MK",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,3D6.1543AFBBEF,,,,4.5,Unknown,
SAL_879,A1,Rack 13 - Off,2025-07-18,2024-10-25 00:00:00,regeneration PTU,"AOG, MK",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,3D6.1543AFBBD4,,,,4.74,Unknown,
SAL_556,C2,Rack 11,2025-07-24,9/1/23 0:00,found dead,,Terra U,Terrestrial,Sweden,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,10/29/24 0:00,,,0.0,Unknown,
SAL_217,C4,Rack 4,2025-07-25,7/21/23 0:00,Sick > bad infection on tail,JW,Viral,Aquatic,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,,11.0,Female,
SAL_703,C1,Rack 5,2025-07-29,12/10/24 0:00,Found Dead,,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,Found Dead
SAL_883,A1,Rack 13 - Off,2025-07-29,2024-10-25 00:00:00,PTU regeneration,"AOG, MK",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,,,,,1.02,Unknown,
SAL_882,A1,Rack 13 - Off,2025-07-28,2024-10-25 00:00:00,PTU regeneration,"AOG, MK",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,3D6.1543AFBBA1,,,,1.01,Unknown,
SAL_890,A1,Rack 13 - Off,2025-07-28,2024-10-25 00:00:00,PTU regeneration,"AOG, MK",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,3D6.1543AFBBE8,,,,5.43,Unknown,
SAL_889,A1,Rack 13 - Off,2025-07-28,2024-10-25 00:00:00,PTU regeneration,"AOG, MK",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,3D6.1543AFBBBA,,,,3.95,Unknown,
SAL_888,A1,Rack 13 - Off,2025-07-28,2024-10-25 00:00:00,PTU regeneration,"AOG, MK",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,3D6.1543AFBBBB,,,,4.6,Unknown,
SAL_891,A4,Rack 9,2025-07-17,2024-12-10 00:00:00,larval regeneration 84 dpi,"AOG, MK",Regeneration,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regeneration St 55,,,,,3.56,Unknown,
SAL_892,A4,Rack 9,2025-07-17,2024-12-10 00:00:00,larval regeneration 84 dpi,"AOG, MK",Regeneration,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regeneration St 55,,,,,3.45,Unknown,
SAL_893,A4,Rack 9,2025-07-17,2024-12-10 00:00:00,larval regeneration 84 dpi,"AOG, MK",Regeneration,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regeneration St 55,,,,,3.54,Unknown,
SAL_894,A4,Rack 9,2025-07-17,2024-12-10 00:00:00,larval regeneration 84 dpi,"AOG, MK",Regeneration,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regeneration St 55,,,,,1.44,Unknown,
SAL_895,A4,Rack 9,2025-07-17,2024-12-10 00:00:00,larval regeneration 84 dpi,"AOG, MK",Regeneration,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regeneration St 55,,,,,3.5,Unknown,
SAL_896,A4,Rack 9,2025-07-17,2024-12-10 00:00:00,larval regeneration 84 dpi,"AOG, MK",Regeneration,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regeneration St 55,,,,,3.37,Unknown,
SAL_897,A4,Rack 9,2025-07-17,2024-12-10 00:00:00,larval regeneration 84 dpi,"AOG, MK",Regeneration,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regeneration St 55,,,,,2.72,Unknown,
SAL_898,A4,Rack 9,2025-07-17,2024-12-10 00:00:00,larval regeneration 84 dpi,"AOG, MK",Regeneration,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regeneration St 55,,,,,1.32,Unknown,
SAL_826,B4,Rack 9,2025-07-17,12/10/24 0:00,larval regeneration 84 dpi,"AOG, MK",Regeneration,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,St55 Regeneration surgery,,,,,0.0,Unknown,
SAL_479,D1,Rack 4,2025-07-17,5/17/24 0:00,adult neurogenesis 84d,"AOG, MK",,Aquatic,,WT,AOG Adult neuro,Pleurodeles waltl,AABI2617,,,,,,12.33,Unknown,
SAL_482,D1,Rack 4,2025-07-17,5/17/24 0:00,adult neurogenesis 84d,"AOG, MK",,Aquatic,,WT,AOG Adult neuro,Pleurodeles waltl,AABI2617,,,,,,6.53,Unknown,
SAL_481,D1,Rack 4,2025-07-17,5/17/24 0:00,adult neurogenesis 84d,"AOG, MK",,Aquatic,,WT,AOG Adult neuro,Pleurodeles waltl,AABI2617,,,,,,6.43,Unknown,
SAL_102,A1,Rack 11,2025-08-01,2/23/22 0:00,found dead,,Terra L,Terrestrial,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,,0.0,Unknown,
SAL_585,C3,Rack 7,2025-08-19,7/1/22 0:00,Found Dead by Sean -- Brain kept ,,,Aquatic,Sweden,mDlx-GFP,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,Found Dead
SAL_640,B1,Rack 9,2025-08-20,11/25/24 0:00,histology,,Viral,Aquatic,,WT,TS,Pleurodeles waltl,AABL1550,DREADD/PHPeB G6s TS,,,,,0.0,Unknown,
SAL_451,B2,Rack 8,2025-08-21,11/24/23 0:00,OR aqua v terra v v reaqua HCR,JW,,Aquatic,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,,11.22,Male,
SAL_285,A2,Rack 11,2025-08-21,11/24/23 0:00,OR aqua v terra v v reaqua HCR,JW,Terra M,Terrestrial,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule,10.64,Male,
SAL_286,A2,Rack 11,2025-08-21,11/24/23 0:00,"OR aqua v terra v v reaqua HCR, Terra male 2",JW,Terra M,Terrestrial,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule,10.57,Male,
SAL_215,C3,Rack 4,2025-08-27,8/7/23 0:00,expansion,PA,Viral,Aquatic,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,,7.73,Male,
SAL_216,C3,Rack 4,2025-08-27,8/7/23 0:00,expansion,PA,Viral,Aquatic,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,,11.38,Male,
SAL_117,C2,Rack 8,2025-08-25,2/23/22 0:00,sickly,JW,Aqua H/K,Aquatic,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,2.16,Unknown,
SAL_167,D5,Rack 8,2025-08-25,3/21/22 0:00,OR HCR - matched with aqua and terra,JW,,Reaqua,,WT,,Pleurodeles waltl,AABL1550,,,1/10/23,2/10/25,Gummy Schedule,9.36,Male,
SAL_641,B1,Rack 9,2025-09-03,11/25/24 0:00,histology,ts,Viral,Aquatic,,WT,TS,Pleurodeles waltl,AABL1550,DREADD/PHPeB G6s TS,,,,,0.0,Unknown,
SAL_034,A3,Rack 2,2025-09-03,3/7/21 0:00,Sickly,GG,,Aquatic,,mDlx-GFP,,Pleurodeles waltl,AABF2564,with signal,,,,,4.7,Unknown,
SAL_600,A3,Rack 7,2025-09-03,8/8/24 0:00,"PTU control sibling, progenitor test ","MK, AOG",,Aquatic,,WT,Priority to use,Pleurodeles waltl,AABF2564,,,,,,7.4,Unknown,
SAL_880,A1,Rack 13 - Off,2025-09-03,2024-10-25 00:00:00,"PTU, progenitor test ","MK, AOG",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,,,,,5.36,Unknown,
SAL_305,C3,Rack 1,2025-09-04,3/12/25 0:00,perfusion - HCR,GG,,Aquatic,,WT,GG,Polypterus senegalus,AABY5655,,,,,,0.0,Unknown,
SAL_306,C3,Rack 1,2025-08-14,3/12/25 0:00,perfusion - HCR,GG,,Aquatic,,WT,GG,Polypterus senegalus,AABY5655,,,,,,0.0,Unknown,
SAL_730,C3,Rack 1,2025-08-14,3/12/25 0:00,perfusion - HCR,GG,,Aquatic,,WT,GG,Polypterus senegalus,AABY5655,,,,,,0.0,Unknown,
SAL_531,A4,Rack 1,2025-09-08,7/1/22 0:00,FOUND DEAD BY SEAN,,,Aquatic,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,Found Dead
SAL_532,B1,Rack 1,2025-09-08,9/1/23 0:00,FOUND DEAD BY SEAN,,,Aquatic,Sweden,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,,0.0,Unknown,Found Dead
SAL_397,C3,Rack 6,2025-09-08,11/24/23 0:00,early response 5 dpi,"MK, AOG",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,,10.73,Unknown,
SAL_398,C3,Rack 6,2025-09-08,11/24/23 0:00,early response 5 dpi,"MK, AOG",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,,9.18,Unknown,
SAL_404,C3,Rack 6,2025-09-08,11/24/23 0:00,early response 3 dpi,"MK, AOG",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,,9.93,Unknown,
SAL_471,B3,Rack 4,2025-09-12,5/17/24 0:00,Found dead,NJC,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,Found Dead
SAL_689,B3,Rack 5,2025-09-22,11/25/24 0:00,,,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,Found Dead
SAL_690,B3,Rack 5,2025-09-22,11/25/24 0:00,no longer in tank - likely cannibalism,,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,Found Dead
SAL_691,B3,Rack 5,2025-09-22,11/25/24 0:00,no longer in tank - likely cannibalism,,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,Found Dead
SAL_122,C5,Rack 8,2025-09-13,2/23/22 0:00,,LDVA,Aqua C',Aquatic,,WT,JW,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,2.4,Unknown,Surgical Complications
SAL_071,B5,Rack 8,2025-09-14,11/4/21 0:00,,LDVA,previous Terra D,Reaqua,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,2.66,Unknown,Surgical Complications
SAL_113,C2,Rack 8,2025-09-17,2/23/22 0:00,Single cell isolation,"LDVA, JW",Aqua H/K,Aquatic,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,4.12,Unknown,
SAL_123,C5,Rack 8,2025-09-17,2/23/22 0:00,Single cell isolation,"LDVA, JW",Aqua C',Aquatic,,WT,JW,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,4.84,Unknown,
SAL_072,B5,Rack 8,2025-09-17,11/4/21 0:00,Single cell isolation,"LDVA, JW",previous Terra D,Reaqua,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,6.23,Unknown,
SAL_885,A1,Rack 13 - Off,2025-09-29,2024-10-25 00:00:00,PTU 10dpi ,"MK, AOG",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,,,,,0.0,Unknown,
SAL_886,A1,Rack 13 - Off,2025-09-29,2024-10-25 00:00:00,PTU 10dpi ,"MK, AOG",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,,,,,0.0,Unknown,
SAL_887,A1,Rack 13 - Off,2025-09-29,2024-10-25 00:00:00,PTU 10dpi ,"MK, AOG",PTU,Aquatic,,WT,PTU AOG,Pleurodeles waltl,AABI2617,pallial injury 4/30/25,,,,,0.0,Unknown,
SAL_291,A4,Rack 11,2025-09-30,12/9/23 0:00,,,Terra O,Terrestrial,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,7/15/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_455,D3,Rack 8,2025-10-01,11/24/23 0:00,"RNA Extraction - Bulk-seq OE, cDNA Brain (given to EG)",JW,,Aquatic,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,8.1,Female,
SAL_006,C4,Rack 12,2025-09-30,1/21/20,Sickly - noted by Josh,MK,Reptile Rapture - Yellow,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,15.0,Male,
SAL_512,A1,Rack 1,2025-09-12,7/1/22 0:00,"Brain expansion trial PA, JW OE EP","JW, PA",,Aquatic,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,
SAL_131,C5,Rack 2,2025-09-16,3/29/22 0:00,,,F1,Aquatic,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,,0.0,Unknown,Found Dead
SAL_041,D4,Rack 2,2025-07-28,11/11/21 0:00,Tissue collection - brain atlas,NJC,,Aquatic,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,,10.85,Male,
SAL_042,D4,Rack 2,2025-07-28,11/11/21 0:00,Tissue collection - brain atlas,NJC,,Aquatic,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,,14.5,Male,
SAL_509,A1,Rack 1,2025-05-27,7/1/22 0:00,Tissue collection - brain atlas,NJC,,Aquatic,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,,16.7,Male,
SAL_510,A1,Rack 1,2025-05-27,7/1/22 0:00,Tissue collection - brain atlas,NJC,,Aquatic,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,,11.6,Male,
SAL_511,A1,Rack 1,2025-05-27,7/1/22 0:00,Tissue collection - brain atlas,NJC,,Aquatic,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,,18.8,Female,
SAL_454,D3,Rack 8,10/03/2025,11/24/23 0:00,"Bulk RNAseq OE, Brain to EG for cDNA",JW,,Aquatic,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,7.3,Female,
